Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
設定商品任選折扣活動：任選每件折固定金額,"商品>商品群組,行銷活動>行銷工具","September 25, 2019 3:59 AM (GMT+8)",任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,1072,https://www.cyberbiz.io/helpcenter/?p=1072,post,,EC
指定商品優惠券設定,"行銷活動>商品優惠折扣,商品>商品群組","December 3, 2019 3:43 AM (GMT+8)",設定優惠券 (https://app.notion.com/p/25a24ee0f33c8064b885debe778cada3?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,1779,https://www.cyberbiz.io/helpcenter/?p=1779,post,,EC
一頁式商店頁面,網站設定>前台介面,"January 4, 2024 2:25 AM (GMT+8)",一頁式商店 (https://app.notion.com/p/25a24ee0f33c80ac90e5c1177d4e692c?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,2076,https://www.cyberbiz.io/helpcenter/?p=2076,post,,EC
指定商品優惠券設定,"行銷活動>優惠券,訂單","July 13, 2021 5:56 AM (GMT+8)",設定優惠券 (https://app.notion.com/p/25a24ee0f33c8064b885debe778cada3?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Yes,3435,https://www.cyberbiz.io/helpcenter/?p=3435,post,,EC
網站轉址｜301重定向設定,訂單,"July 22, 2021 6:24 AM (GMT+8)",設定 301 重定向網站轉址 (https://app.notion.com/p/301-32d24ee0f33c806ab688d1a00bfe2f3d?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",No,3490,https://www.cyberbiz.io/helpcenter/?p=3490,post,,
SEO 優化教學,行銷活動>行銷工具,"November 22, 2022 6:00 AM (GMT+8)",SEO 設定與優化指南 (https://app.notion.com/p/SEO-32724ee0f33c802eb174cfb28aabf40b?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3512,https://www.cyberbiz.io/helpcenter/?p=3512,post,,
設定紅利點數說明,紅利點數,"August 30, 2021 9:33 AM (GMT+8)",紅利點數 (https://app.notion.com/p/25924ee0f33c805ba3d6c4524c86d2df?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,,Yes,3805,https://www.cyberbiz.io/helpcenter/?p=3805,post,,EC
商家手動發送(全館/個人)紅利,紅利點數,"August 30, 2021 9:40 AM (GMT+8)",紅利點數 (https://app.notion.com/p/25924ee0f33c805ba3d6c4524c86d2df?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,,Yes,3807,https://www.cyberbiz.io/helpcenter/?p=3807,post,,EC
全館發送紅利,紅利點數,"August 30, 2021 9:43 AM (GMT+8)",紅利點數 (https://app.notion.com/p/25924ee0f33c805ba3d6c4524c86d2df?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,,Yes,3812,https://www.cyberbiz.io/helpcenter/?p=3812,post,,EC
影片自動播放+特定播放時間設定,網站設定>語法教學,"September 2, 2021 4:25 AM (GMT+8)",設定一頁式商店影片自動播放與指定時間 (https://app.notion.com/p/31624ee0f33c80308f91dfef0ef3fdda?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3838,https://www.cyberbiz.io/helpcenter/?p=3838,post,,EC
